City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
98,Camacupa,AO,63.23,overcast clouds,-12.0167,17.4833, 
99,Airai,TL,73.71,overcast clouds,-8.9266,125.4092, 
100,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
101,Berezovyy,RU,56.7,scattered clouds,51.6667,135.7,"Hotel ""Phoenix"""
103,Harindanga,IN,88.27,broken clouds,22.0383,88.3214,Hasanur Builders
104,New Norfolk,AU,57.88,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
105,Seoul,KR,74.64,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
107,Karratha,AU,86.07,clear sky,-20.7377,116.8463,ibis Styles Karratha
108,Boende,CD,70.88,overcast clouds,-0.2167,20.8667, 
109,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
110,Tuatapere,NZ,54.01,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
111,Manokwari,ID,82.62,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
113,Ambatofinandrahana,MG,60.26,clear sky,-20.55,46.8,commune ambatofinandrahana
114,Sao Filipe,CV,78.1,scattered clouds,14.8961,-24.4956,Hotel Xaguate
115,Vaitape,PF,79.09,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
116,Puertollano,ES,56.16,clear sky,38.6871,-4.1073,Hotel Puertollano
117,Altamira,BR,71.87,few clouds,-3.2033,-52.2064,Requinte Hotel
119,Batemans Bay,AU,59.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
120,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
122,Cockburn Town,TC,82.35,few clouds,21.4612,-71.1419,Osprey Beach Hotel
123,Vila Velha,BR,72.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
124,Emerald,AU,85.55,light rain,-23.5333,148.1667,The Irish Village
125,Hay River,CA,55.51,broken clouds,60.8156,-115.7999,Ptarmigan Inn
126,Paragominas,BR,71.1,clear sky,-2.9667,-47.4833,INOVA
127,Westport,US,59.86,scattered clouds,41.1415,-73.3579,The Westport Inn
128,Praia Da Vitoria,PT,66.76,light rain,38.7333,-27.0667,Hotel Branco I
130,Flinders,AU,67.28,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
131,Sao Joao Da Barra,BR,71.8,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
132,Baherden,TM,76.26,clear sky,38.4362,57.4316, 
135,Sola,VU,80.76,few clouds,-13.8833,167.55,Leumerus Bungalows
137,Tchibanga,GA,70.32,overcast clouds,-2.85,11.0333, 
138,Saint George,US,80.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
139,Natal,BR,70.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
142,Beloha,MG,74.86,clear sky,-25.1667,45.05, 
143,Belogorsk,RU,52.12,few clouds,50.9158,128.4611,Gostinitsa Vostok 2000
