City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Lasa,IT,46.6166,10.7002,39.69,78,92,4.52,overcast clouds
79,Meulaboh,ID,4.1363,96.1285,76.71,88,100,3.38,overcast clouds
80,Kendari,ID,-3.945,122.4989,87.53,59,63,7.14,broken clouds
81,Yulara,AU,-25.2406,130.9889,78.94,18,0,13.06,clear sky
82,San Ignacio,BZ,17.1561,-89.0714,72.03,97,52,3.4,broken clouds
83,Bronnoysund,NO,65.4625,12.1997,53.6,62,40,8.05,scattered clouds
84,Hilo,US,19.7297,-155.09,82.27,90,73,1.99,broken clouds
85,Palu,ID,-0.8917,119.8707,91.87,49,90,3.96,overcast clouds
86,Sorland,NO,67.667,12.6934,51.66,75,23,11.65,few clouds
87,Humaita,BR,-7.5061,-63.0208,78.44,64,56,2.3,broken clouds
88,Constitucion,CL,-35.3333,-72.4167,52.57,77,0,3.11,clear sky
89,Pervomayskoye,RU,43.919,46.7102,68.36,75,78,7.65,broken clouds
90,Whitehaven,GB,54.549,-3.5841,44.65,100,54,1.01,broken clouds
91,Tilichiki,RU,60.4667,166.1,37.65,90,100,1.19,light rain
92,Port-Gentil,GA,-0.7193,8.7815,75.49,88,100,7.56,light rain
93,Cabo San Lucas,MX,22.8909,-109.9124,84.06,78,1,1.99,clear sky
94,Zeya,RU,53.75,127.2667,47.41,50,23,8.1,few clouds
95,Silver City,US,32.7701,-108.2803,66.69,50,40,9.22,scattered clouds
96,Mitu,CO,1.1983,-70.1733,72.81,89,67,1.41,light rain
97,Geraldton,AU,-28.7667,114.6,84.61,17,0,5.75,clear sky
98,Camacupa,AO,-12.0167,17.4833,63.23,70,98,2.42,overcast clouds
99,Airai,TL,-8.9266,125.4092,73.71,62,99,0.81,overcast clouds
100,Georgetown,MY,5.4112,100.3354,85.95,80,20,4.61,few clouds
101,Berezovyy,RU,51.6667,135.7,56.7,40,32,11.3,scattered clouds
102,Aklavik,CA,68.2191,-135.0107,30.31,91,100,12.17,overcast clouds
103,Harindanga,IN,22.0383,88.3214,88.27,63,54,1.16,broken clouds
104,New Norfolk,AU,-42.7826,147.0587,57.88,74,96,1.01,overcast clouds
105,Seoul,KR,37.5683,126.9778,74.64,33,100,3.2,overcast clouds
106,Opuwo,NA,-18.0607,13.84,63.95,23,2,2.46,clear sky
107,Karratha,AU,-20.7377,116.8463,86.07,24,4,11.65,clear sky
108,Boende,CD,-0.2167,20.8667,70.88,96,100,2.08,overcast clouds
